Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|780|803|789|1218|3590
B67202|Algonquin and Lakeshore CDSB|808|916|1071|1211|4006
B66010|Avon Maitland DSB|1163|1250|1480|2026|5919
B66001|Bluewater DSB|1018|1069|1305|1820|5212
B67164|Brant Haldimand Norfolk CDSB|795|804|789|1043|3431
B67008|Bruce-Grey CDSB|330|341|311|407|1389
B67172|CDSB of Eastern Ontario|971|1037|1104|1215|4327
B66303|CS Viamonde|454|415|439|411|1719
B28118|CSD du Grand Nord de l'Ontario|136|147|144|208|635
B28100|CSD du Nord-Est de l'Ontario|87|101|93|216|497
B67318|CSDC Centre-Sud|703|811|679|709|2902
B29114|CSDC Franco-Nord|224|220|219|228|891
B67326|CSDC de l'Est ontarien|692|751|744|868|3055
B29130|CSDC des Aurores boréales|31|38|25|23|117
B29106|CSDC des Grandes Rivières|447|494|472|539|1952
B67334|CSDC du Centre-Est de l'Ontario|1231|1259|1236|1173|4899
B29122|CSDC du Nouvel-Ontario|416|389|422|461|1688
B67300|Conseil scolaire catholique Providence|438|436|348|447|1669
B66311|CÉP de l'Est de l'Ontario|896|891|904|1057|3748
B66150|DSB Niagara|2585|2738|2947|4107|12377
B28002|DSB Ontario North East|628|648|696|1044|3016
B67083|Dufferin-Peel CDSB|7622|7808|7913|9290|32633
B67105|Durham CDSB|1641|1703|1674|2252|7270
B66060|Durham DSB|4901|5134|5195|6339|21569
B66168|Grand Erie DSB|1917|2021|2060|3438|9436
B66028|Greater Essex County DSB|2884|2691|2824|3418|11817
B67113|Halton CDSB|2395|2451|2452|2949|10247
B66133|Halton DSB|4146|4207|4137|5981|18471
B67121|Hamilton-Wentworth CDSB|2245|2329|2310|3974|10858
B66141|Hamilton-Wentworth DSB|3325|3414|3652|5225|15616
B66222|Hastings & Prince Edward DSB|1107|1154|1239|1643|5143
B67016|Huron Perth CDSB|323|352|330|368|1373
B29025|Huron-Superior CDSB|332|274|271|473|1350
B15148|James Bay Lowlands SSB|48|49|40|63|200
B66079|Kawartha Pine Ridge DSB|2160|2358|2512|3744|10774
B28045|Keewatin-Patricia DSB|451|478|477|727|2133
B29050|Kenora CDSB|90|102|87|119|398
B28061|Lakehead DSB|667|785|784|936|3172
B66036|Lambton Kent DSB|1652|1748|1853|2563|7816
B66206|Limestone DSB|1440|1426|1569|2745|7180
B67032|London District Catholic School Board|1490|1639|1555|2253|6937
B28037|Near North DSB|739|767|855|1151|3512
B67156|Niagara CDSB|1645|1752|1807|2156|7360
B29017|Nipissing-Parry Sound CDSB|227|206|210|242|885
B29009|Northeastern CDSB|103|78|86|131|398
B67180|Ottawa CDSB|3000|3335|3372|3991|13698
B66184|Ottawa-Carleton DSB|5198|5120|5511|8217|24046
B66125|Peel DSB|9579|9876|10203|13392|43050
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1082|1089|1105|1283|4559
B28029|Rainbow DSB|1080|1092|1138|1880|5190
B28053|Rainy River DSB|248|246|264|408|1166
B67199|Renfrew County CDSB|244|231|241|287|1003
B66214|Renfrew County DSB|732|799|860|1164|3555
B66109|Simcoe County DSB|3545|3829|3926|5077|16377
B67091|Simcoe Muskoka CDSB|1521|1646|1656|2043|6866
B67040|St Clair CDSB|565|627|591|818|2601
B29033|Sudbury CDSB|474|476|485|616|2051
B28070|Superior-Greenstone DSB|168|201|201|248|818
B66044|Thames Valley DSB|5101|5314|5505|7821|23741
B29068|Thunder Bay CDSB|571|557|543|601|2272
B67059|Toronto CDSB|6692|7199|7178|9250|30319
B66052|Toronto DSB|16520|17009|18025|25195|76749
B66087|Trillium Lakelands DSB|1299|1417|1511|2094|6321
B66192|Upper Canada DSB|2047|2131|2266|3775|10219
B66117|Upper Grand DSB|2439|2585|2557|4015|11596
B67148|Waterloo CDSB|1475|1552|1601|1976|6604
B66176|Waterloo Region DSB|4400|4481|4646|6541|20068
B67130|Wellington CDSB|557|599|595|809|2560
B67024|Windsor-Essex CDSB|1819|1889|1977|2106|7791
B67075|York CDSB|4355|4490|4463|4911|18219
B66095|York Region DSB|9054|9136|9193|11476|38859
|Total|142148|147410|151722|202605|643885
||||||
