Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|580|647|633|656|644|648|611|637|639|713|6408
B67202|Algonquin and Lakeshore CDSB|770|794|827|855|795|746|758|731|741|736|7753
B66010|Avon Maitland DSB|930|1023|1012|1025|1035|1011|1020|1019|1062|1087|10224
B66001|Bluewater DSB|1110|1104|1201|1144|1131|1125|1142|1089|1101|1255|11402
B67164|Brant Haldimand Norfolk CDSB|563|605|610|629|645|619|663|636|674|689|6333
B67008|Bruce-Grey CDSB|246|288|254|272|221|266|226|250|221|256|2500
B67172|CDSB of Eastern Ontario|759|806|823|842|806|844|833|886|960|1070|8629
B66303|CS Viamonde|1051|1143|1102|1042|965|878|826|731|601|587|8926
B28118|CSD du Grand Nord de l'Ontario|165|183|194|185|180|153|177|152|147|141|1677
B28100|CSD du Nord-Est de l'Ontario|155|219|179|197|146|165|126|129|102|97|1515
B67318|CSDC Centre-Sud|1372|1405|1451|1342|1316|1293|1151|1116|1003|984|12433
B29114|CSDC Franco-Nord|220|198|201|188|206|167|190|179|230|220|1999
B67326|CSDC de l'Est ontarien|744|765|770|773|715|730|742|679|653|694|7265
B29130|CSDC des Aurores boréales|64|67|73|62|78|62|57|68|65|57|653
B29106|CSDC des Grandes Rivières|439|465|426|390|438|381|391|417|423|430|4200
B67334|CSDC du Centre-Est de l'Ontario|1749|1783|1915|1811|1800|1682|1632|1563|1387|1308|16630
B29122|CSDC du Nouvel-Ontario|557|551|527|531|557|492|510|498|453|476|5152
B67300|Conseil scolaire catholique Providence|790|835|870|828|840|827|771|692|626|572|7651
B66311|CÉP de l'Est de l'Ontario|1137|1158|1134|1059|1037|958|901|852|929|800|9965
B66150|DSB Niagara|2241|2467|2400|2411|2346|2356|2473|2478|2467|2705|24344
B28002|DSB Ontario North East|416|444|459|432|423|411|466|419|416|427|4313
B67083|Dufferin-Peel CDSB|4297|4580|4902|4958|4916|5068|5225|5083|5279|5568|49876
B67105|Durham CDSB|1335|1459|1428|1479|1406|1483|1466|1489|1487|1568|14600
B66060|Durham DSB|4374|4544|4600|4770|4772|4803|4786|4902|4789|5057|47397
B66168|Grand Erie DSB|1632|1736|1803|1722|1750|1750|1713|1818|1739|1882|17545
B66028|Greater Essex County DSB|2157|2370|2451|2433|2334|2446|2379|2444|2401|2508|23923
B67113|Halton CDSB|2081|2193|2211|2154|2132|2138|2181|2239|2117|2246|21692
B66133|Halton DSB|3534|4040|4452|4705|4584|4470|4651|4485|4365|4232|43518
B67121|Hamilton-Wentworth CDSB|1725|1840|1904|1839|1805|1917|1875|1897|1874|2000|18676
B66141|Hamilton-Wentworth DSB|3110|3530|3481|3520|3431|3345|3427|3522|3358|3641|34365
B66222|Hastings & Prince Edward DSB|934|984|1034|1025|1007|988|1022|994|1051|1090|10129
B67016|Huron Perth CDSB|306|310|317|323|291|309|313|312|286|312|3079
B29025|Huron-Superior CDSB|393|345|356|333|333|355|359|365|330|382|3551
B66079|Kawartha Pine Ridge DSB|2012|2181|2244|2163|2108|2108|2205|2127|2239|2302|21689
B28045|Keewatin-Patricia DSB|258|286|288|271|242|270|276|276|274|286|2727
B29050|Kenora CDSB|99|120|126|128|135|117|132|102|125|144|1228
B28061|Lakehead DSB|618|640|624|605|571|623|564|602|577|620|6044
B66036|Lambton Kent DSB|1322|1435|1473|1490|1470|1445|1538|1450|1462|1597|14682
B66206|Limestone DSB|1244|1333|1351|1294|1304|1309|1270|1276|1395|1353|13129
B67032|London District Catholic School Board|1113|1086|1187|1197|1225|1189|1203|1267|1229|1298|11994
B15199|Moose Factory Island DSAB|38|41|39|38|34|36|27|30|12|12|307
B15202|Moosonee DSAB|23|29|33|25|31|24|36|17|14|18|250
B28037|Near North DSB|631|628|700|633|653|648|678|634|693|729|6627
B67156|Niagara CDSB|1253|1395|1523|1478|1533|1510|1520|1541|1506|1594|14853
B29017|Nipissing-Parry Sound CDSB|161|199|207|211|177|207|206|231|197|188|1984
B29009|Northeastern CDSB|137|164|181|190|185|175|149|184|185|207|1757
B29041|Northwest CDSB|143|151|130|137|141|143|116|106|119|114|1300
B67180|Ottawa CDSB|2493|2702|2567|2490|2494|2500|2579|2614|2826|2973|26238
B66184|Ottawa-Carleton DSB|4374|4653|4892|4845|4843|4782|5047|5060|4699|4795|47990
B66125|Peel DSB|10144|10716|11540|11588|11743|11518|11394|11241|10837|11413|112134
B79910|Penetanguishene PSSB|16|21|22|29|20|26|19|23|21|22|219
B67067|Peterborough Victoria Northumberland and Clarington CDSB|985|962|984|975|1022|982|982|982|965|1042|9881
B28029|Rainbow DSB|823|854|893|833|815|834|835|845|816|985|8533
B28053|Rainy River DSB|166|154|172|177|166|183|182|182|184|203|1769
B67199|Renfrew County CDSB|350|386|374|389|325|342|350|352|345|384|3597
B66214|Renfrew County DSB|614|571|585|590|560|528|592|623|616|621|5900
B66109|Simcoe County DSB|3196|3545|3456|3534|3482|3498|3579|3617|3578|3755|35240
B67091|Simcoe Muskoka CDSB|1216|1354|1358|1344|1390|1356|1325|1372|1360|1384|13459
B67040|St Clair CDSB|601|613|664|570|628|630|622|645|644|637|6254
B29033|Sudbury CDSB|388|409|390|417|409|380|377|390|456|463|4079
B29076|Superior North CDSB|66|76|72|77|64|81|77|84|81|80|758
B28070|Superior-Greenstone DSB|85|78|86|79|89|71|70|74|75|85|792
B66044|Thames Valley DSB|4598|5209|5266|5344|5169|4955|5053|4974|5105|5298|50971
B29068|Thunder Bay CDSB|526|561|563|536|527|559|536|576|579|595|5558
B67059|Toronto CDSB|5578|5852|5962|6072|5988|6041|5924|6206|6027|6572|60222
